row,stim_idx,edit_type,word_orig,in_ctx,in_full_prefix,d_own,d_pos2,d_foreign,d_noinj
235,68,corrupt_det,"""Aggi""",True,True,41.90570076927543,-5.909019470214844,-7.152584075927734,-6.187685012817383
238,69,corrupt,.,False,False,13.968749523162842,3.1875,0.44140625,2.03125
239,69,corrupt_det,"(""While",False,False,3.65625,-0.1875,-1.375,-1.96875
240,70,corrupt_det,Protestant,False,False,21.328124344348907,14.999999284744264,6.429688453674316,13.559081077575684
241,70,corrupt_det,"1930s""",False,False,17.198602080345154,14.8434476852417,15.482646942138672,11.389239311218262
242,70,corrupt,"Ohio""",False,False,15.187427520751951,0.7774944305419922,-0.4257717132568359,0.1350917816162109
242,70,corrupt_det,"""The",True,True,23.29541015625,16.498088359832764,22.459477424621586,18.25277614593506
244,71,corrupt,A.,True,True,1.8979108333587649,-1.0557861328125,-1.6350173950195312,0.9665184020996094
244,71,corrupt_det,"""The",True,True,19.30468702316284,17.421875,13.624998569488524,11.812500953674316
246,71,corrupt,A.,True,True,6.231629133224487,6.233304977416992,-1.1745319366455078,6.818160057067871
247,71,corrupt,A.,True,True,2.907428741455078,3.586918354034424,0.0773258209228515,1.8776130676269531
249,72,corrupt,2005,False,False,17.166255593299866,16.27695322036743,2.5440635681152344,3.778172016143799
249,72,corrupt_det,2005,False,False,2.1168514490127563,2.9621548652648926,0.3187122344970703,0.0225658416748046
250,72,corrupt_det,"""While",False,False,14.375,8.09375,9.796875,4.718750953674316
251,72,corrupt,Bresnan,False,False,1.446298599243164,1.0188617706298828,-9.770206451416016,-6.918481826782227
251,72,corrupt_det,"(""Young",True,True,-7.0,-6.8125,-11.890625,-8.734375953674316
252,73,corrupt,factual,False,False,9.906250357627869,8.375000953674316,10.187500476837158,6.171875
252,73,corrupt_det,"""Artificial",False,False,8.37708592414856,-1.3996124267578125,-0.2930908203125,-3.721891403198242
253,73,corrupt,positive,False,False,2.375,-2.75,-1.21875,0.4375
253,73,corrupt_det,"""The",True,True,20.69205617904663,21.1978759765625,20.51692295074463,17.145194053649902
254,73,corrupt_det,'AI',False,False,9.184537887573242,1.6868057250976562,-0.2009944915771484,-0.0904598236083984
257,73,corrupt,"AI...""),",False,False,8.312541961669922,8.993255615234375,6.8398284912109375,3.3417434692382812
257,73,corrupt_det,"AI...""),",False,False,3.6377182006835938,-3.0263938903808594,-3.4387969970703125,-1.245391845703125
258,74,corrupt,Scottish,False,False,1.75,2.875,3.1796875,-1.34375
258,74,corrupt_det,Scottish,False,False,7.96875,6.0,5.515625,4.453125
260,74,corrupt,"""positive",False,False,12.562499821186066,0.75,-2.0625,-0.59375
260,74,corrupt_det,"(""The",True,True,14.5,12.90624976158142,6.125,2.6875
261,75,corrupt,Haitian,True,True,13.34374737739563,-0.9687566757202148,-4.937774658203125,-5.998138427734375
261,75,corrupt_det,Haitian,True,True,18.82812237739563,6.671867370605469,0.968475341796875,2.048736572265625
262,75,corrupt_det,"Temblble""",False,False,13.956201553344728,-27.140703201293945,-21.1614990234375,-24.654184341430664
