row,stim_idx,claim_idx,n_claims,is_last,has_det,error,cos_claim,cos_corrupt,cos_paraphrase,cos_corrupt_det,d_true_corrupt,d_true_para,d_para_corrupt,d_true_det
175,51,2,4,False,True,,0.8551257893392857,0.8540896578368509,0.8542434622540541,0.8468260819039013,0.0010361315024348672,0.0008823270852316156,0.00015380441720325155,0.00829970743538444
177,52,0,3,False,True,,0.4963675402353348,0.4924208040310087,0.4993430390547654,0.49794399811070766,0.003946736204326118,-0.0029754988194306,0.006922235023756718,-0.0015764578753728609
178,52,1,3,False,True,,0.7401478603015976,0.7514755875164377,0.6754573821193222,0.7151876969767924,-0.0113277272148401,0.06469047818227547,-0.07601820539711557,0.024960163324805218
179,52,2,3,True,True,,0.805129705778202,0.7813145241146267,0.7730005987341692,0.805868586812921,0.023815181663575324,0.03212910704403282,-0.008313925380457499,-0.0007388810347189745
180,53,0,3,False,True,,0.45866702153909156,0.44944816591343184,0.5095848453472415,0.4539551301927695,0.009218855625659717,-0.05091782380814991,0.060136679433809626,0.00471189134632205
181,53,1,3,False,True,,0.878989466023421,0.8792124221242131,0.5708457076675159,0.8824463885898204,-0.00022295610079214878,0.30814375835590513,-0.3083667144566973,-0.0034569225663994008
182,53,2,3,True,True,,0.8941755067489889,0.8952410681965784,0.8903656639443592,0.8912949462686514,-0.0010655614475895137,0.003809842804629704,-0.004875404252219218,0.0028805604803375795
183,54,0,3,False,True,,0.34109450278397574,0.3390972050191243,0.3245602464857817,0.32708130979161615,0.0019972977648514134,0.01653425629819405,-0.014536958533342637,0.014013192992359591
184,54,1,3,False,True,,0.604455058265646,0.6459632862272802,0.4727754986012132,0.6212843742939286,-0.041508227961634114,0.13167955966443284,-0.17318778762606696,-0.016829316028282526
185,54,2,3,True,True,,0.8064716131494766,0.797868230549361,0.7967447679568621,0.7467539696650672,0.008603382600115617,0.009726845192614464,-0.0011234625924988473,0.05971764348440933
186,55,0,3,False,False,,0.48383954461026163,0.5011643280507374,0.4881383860997282,,-0.017324783440475777,-0.004298841489466576,-0.013025941951009201,
