stim_idx,doc_idx,pos,variant,cos,cos_minus_V0
18,353,55,V2,0.8914468959365739,8.525641924372884e-05
19,592,254,V2,0.9021727501201543,-0.007170708373330337
20,270,216,V2,0.8753160997313024,-0.011380321504461222
21,459,18,V2,0.8802752491838258,-0.0037947731205716373
22,536,20,V2,0.8433883038141975,-0.00992144075732948
23,83,276,V2,0.9304751411767554,0.008046899563654897
24,524,143,V2,0.9041817303053431,3.948756102056805e-05
25,18,394,V2,0.9143953973028582,0.0017797136024485516
26,134,244,V2,0.9130439131402868,0.007232093019490238
27,265,415,V2,0.915661332782114,0.0025151095086536346
28,109,204,V2,0.8544050131962686,-0.007564216319075778
29,111,487,V2,0.8237415016842833,0.030249728176079738
30,126,432,V2,0.879150388433731,-0.005817329554953843
31,442,365,V2,0.9376862053649863,-0.0018214625884112046
32,545,450,V2,0.9628248837130243,-0.0009111164003001715
33,168,303,V2,0.9292347011584846,0.0035966513036542747
34,152,435,V2,0.856420100294205,-0.01570919729488951
35,228,202,V2,0.9400326012680104,0.00446326076900605
36,64,225,V2,0.8786693068764223,0.000969851091403684
37,171,372,V2,0.8612591824305343,0.0034050778022757244
38,244,52,V2,0.8994001664262764,-0.006394016097880373
39,51,279,V2,0.89996362429309,0.010430616362711476
0,391,437,V3,0.9015626241308402,-0.0022217553565930803
1,358,269,V3,0.8180292574542952,-0.0017429187193191975
2,601,168,V3,0.9495817380118966,-0.005526779442668883
3,452,53,V3,0.86874391446563,-0.005109525988270525
4,354,102,V3,0.9376021213806734,-0.0015531651183599005
5,147,338,V3,0.907351032910715,0.0008025456705146317
6,553,265,V3,0.8230999502943769,0.01422472631605809
7,293,497,V3,0.8841848237480312,0.004502343196290837
8,42,329,V3,0.9134129268104993,-0.0012741956009562072
9,229,293,V3,0.6767723277796142,-0.10804532636042363
10,74,153,V3,0.8626360539228553,0.004219964030901968
11,399,348,V3,0.891784964847483,-0.0020264332705458576
12,457,211,V3,0.9417434142153457,0.0015721019949154202
13,117,290,V3,0.9109726972022407,-0.011143641118341097
14,472,395,V3,0.9366495783361533,0.0016521356903889117
15,454,435,V3,0.8971794212545111,-0.0010867574103066158
16,167,60,V3,0.8700542486717311,-0.011968383100949165
17,100,26,V3,0.9298341747938859,0.0022350603991347917
18,353,55,V3,0.8945653535523723,0.00320371403504216
19,592,254,V3,0.9087042416238479,-0.0006392168696367495
20,270,216,V3,0.8770668297355496,-0.00962959150021403
21,459,18,V3,0.873183047505017,-0.0108869747993805
22,536,20,V3,0.8519591679317161,-0.0013505766398108632
23,83,276,V3,0.927306299374101,0.004878057761000476
24,524,143,V3,0.907221379727516,0.003079136983193509
25,18,394,V3,0.9206355114488628,0.008019827748453112
26,134,244,V3,0.9034867568758569,-0.0023250632449396402
27,265,415,V3,0.9122946554416018,-0.0008515678318585795
28,109,204,V3,0.8678726614417809,0.005903431926436498
29,111,487,V3,0.7980992482426364,0.004607474734432904
30,126,432,V3,0.8806019952936979,-0.004365722694986918
31,442,365,V3,0.9344367527041327,-0.005070915249264729
32,545,450,V3,0.9631591322886551,-0.0005768678246693693
33,168,303,V3,0.927186811028973,0.0015487611741427099
34,152,435,V3,0.8626373776808816,-0.009491919908212965
35,228,202,V3,0.9420541624800247,0.0064848219810204055
36,64,225,V3,0.8831875408001975,0.005488085015178834
37,171,372,V3,0.8411772901133427,-0.016676814514915872
