row,stim_idx,claim_idx,n_claims,is_last,edit_type,single_word,error,word_pos,word_orig,word_corrupt,lp_orig,lp_corrupt,n_tok_orig,n_tok_corrupt,d_inj,lp_orig_noinj,lp_corrupt_noinj,d_noinj,d_inj_minus_noinj
366,105,2,3,True,corrupt_det,True,,2.0,"""NBC""","""Northwood""",-2.658346784301102e-05,-41.292930603027344,3.0,4.0,41.2929040195595,-25.19293785095215,-26.619964599609375,1.4270267486572266,39.865877270902274
367,106,0,3,False,corrupt,True,,15.0,NFL,NBA,-1.2926701307296753,-6.667670249938965,1.0,1.0,5.3750001192092896,-13.679574012756348,-18.163949966430664,4.484375953674316,0.8906241655349731
367,106,0,3,False,corrupt_det,True,,15.0,NFL,Capitol,-1.2926701307296753,-15.960150718688965,1.0,1.0,14.66748058795929,-13.679574012756348,-19.785043716430664,6.105469703674316,8.562010884284973
368,106,1,3,False,corrupt,False,,,,,,,,,,,,,
368,106,1,3,False,corrupt_det,True,,3.0,"""In","""An",-5.530375003814697,-15.780374526977539,2.0,2.0,10.249999523162842,-9.749821662902832,-9.249821662902832,-0.5,10.749999523162842
369,106,2,3,True,corrupt,True,,38.0,Outland,Heisman,-1.1106020212173462,-1.9605377912521362,2.0,2.0,0.84993577003479,-17.270376205444336,-16.98200225830078,-0.2883739471435547,1.1383097171783447
369,106,2,3,True,corrupt_det,True,,20.0,"(""During","(""Wings",-11.596492767333984,-33.96202850341797,2.0,3.0,22.365535736083984,-18.004243850708008,-20.16400909423828,2.1597652435302734,20.20577049255371
370,107,0,3,False,corrupt,False,,,,,,,,,,,,,
370,107,0,3,False,corrupt_det,True,,4.0,British,RCA,-0.5494291186332703,-23.084585189819336,1.0,1.0,22.535156071186066,-14.4985990524292,-22.186100006103516,7.687500953674316,14.84765511751175
371,107,1,3,False,corrupt,False,,,,,,,,,,,,,
371,107,1,3,False,corrupt_det,True,,22.0,1939,1946,-3.182210922241211,-3.113051176071167,5.0,5.0,-0.06915974617004395,-5.3885650634765625,-5.060376167297363,-0.3281888961791992,0.2590291500091553
372,107,2,3,True,corrupt,False,,,,,,,,,,,,,
