stim_idx,doc_idx,split,token_type,entropy_nats,top1_prob,topic_true,topic_foreign,foreign_stim_idx,topic_in_default_explanation,error,yn_true,yn_foreign,yn_conf,yn_torn,yn_true_noinj,yn_foreign_noinj,yn_conf_noinj,yn_torn_noinj,yn_true_swap,yn_foreign_swap,cc_true,cc_foreign,n_tok_true,n_tok_foreign,cc_true_pt,cc_foreign_pt,cc_true_swap,cc_foreign_swap,cc_true_swap_pt,cc_foreign_swap_pt,cc_true_noinj,cc_foreign_noinj,cc_true_noinj_pt,cc_foreign_noinj_pt,cc_true_corr,cc_foreign_corr
68,248,eval,word_piece,0.0010782397584989,0.99991774559021,Texas A & M Singing Cadets,Stop!! Hibari-kun!,168,False,,4.25,2.8125,3.4375,3.5,2.375,2.125,2.4375,3.5625,1.5,0.0,-35.57568359375,-84.00336456298828,8,7,-4.44696044921875,-12.000480651855469,-79.24899291992188,-64.34296417236328,-9.906124114990234,-9.191852024623326,-63.79031753540039,-67.15178680419922,-7.973789691925049,-9.593112400599889,28.21463394165039,-16.851577758789062
69,595,eval,punctuation,2.909104108810425,0.2645955085754394,Georgian scripts,Kedok Ketawa,169,False,,2.3125,2.1875,2.5,1.8125,3.375,2.875,2.4375,3.5625,1.25,1.0,-26.08419418334961,-58.21479034423828,2,5,-13.042097091674805,-11.642958068847657,-32.88274383544922,-40.512638092041016,-16.44137191772461,-8.102527618408203,-32.36991882324219,-48.06546401977539,-16.184959411621094,-9.613092803955078,6.285724639892578,-10.14932632446289
70,329,eval,word_initial,1.588242530822754,0.4889086484909057,God's Choice,Gerard (archbishop of York),170,False,,3.3125,4.0,5.0625,4.3125,2.5625,2.75,2.4375,3.5625,2.5,2.90625,-36.8743782043457,-61.9696159362793,3,7,-12.291459401448568,-8.852802276611328,-34.167022705078125,-34.39940643310547,-11.389007568359375,-4.914200919015067,-27.957950592041016,-36.91211700439453,-9.319316864013672,-5.273159572056362,-8.916427612304688,-25.057498931884766
71,513,eval,word_initial,2.6275594234466553,0.3712559342384338,Inocybe praetervisa,South of Heaven,171,False,,2.8125,2.9375,2.5625,3.1875,2.3125,2.8125,2.4375,3.5625,0.25,0.65625,-38.206180572509766,-43.49488830566406,7,3,-5.458025796072824,-14.498296101888021,-45.8079833984375,-26.249109268188477,-6.543997628348214,-8.749703089396158,-38.04991912841797,-33.00275421142578,-5.435702732631138,-11.00091807047526,-0.15626144409179688,-10.492134094238281
72,238,eval,word_initial,4.831153869628906,0.0635307729244232,"No result, Pts",Blackburn Firecrest,172,False,,1.09375,2.34375,3.0625,3.125,2.5,2.8125,2.4375,3.5625,-0.125,1.625,-60.14775466918945,-44.38079071044922,5,3,-12.029550933837891,-14.793596903483072,-67.8149185180664,-37.16862487792969,-13.56298370361328,-12.389541625976562,-50.48260498046875,-37.90430450439453,-10.09652099609375,-12.63476816813151,-9.665149688720703,-6.4764862060546875
73,104,eval,punctuation,4.192230701446533,0.1329291760921478,First-move advantage in chess,Tropical Storm Olaf (1997),173,False,,1.375,0.75,1.25,1.6875,3.3125,2.1875,2.4375,3.5625,2.75,1.28125,-35.851844787597656,-51.73095703125,5,10,-7.170368957519531,-5.173095703125,-64.2806396484375,-33.477413177490234,-12.8561279296875,-3.3477413177490236,-35.058616638183594,-36.09577560424805,-7.011723327636719,-3.6095775604248046,-0.7932281494140625,-15.635181427001953
74,115,eval,word_initial,2.9642763137817383,0.2399092018604278,Lost Horizons (Lemon Jelly album),Sister Wives,174,False,,2.0,2.25,3.125,2.4375,2.4375,2.75,2.4375,3.5625,3.90625,3.96875,-56.4738655090332,-38.17378616333008,9,3,-6.2748739454481335,-12.724595387776693,-71.84442901611328,-28.514909744262695,-7.982714335123698,-9.504969914754232,-67.6971435546875,-28.034534454345703,-7.521904839409722,-9.344844818115234,11.223278045654297,-10.139251708984375
75,129,eval,word_piece,1.758276343345642,0.7662817239761353,2010 Haiti earthquake,Ireland,175,False,,3.3125,2.625,2.375,3.375,2.8125,3.0,2.4375,3.5625,3.4375,2.9375,-20.23260498046875,-24.075881958007812,7,1,-2.8903721400669644,-24.075881958007812,-42.51317596435547,-22.14704704284668,-6.073310852050781,-22.14704704284668,-27.132665634155273,-14.831832885742188,-3.8760950905936107,-14.831832885742188,6.900060653686523,-9.244049072265625
76,622,eval,word_initial,0.2061243504285812,0.9593889117240906,Star,James Robert Baker,176,True,,2.3125,2.75,4.125,2.8125,2.75,2.9375,2.4375,3.5625,-0.875,0.6875,-10.774124145507812,-32.77729415893555,1,3,-10.774124145507812,-10.925764719645182,-13.336742401123047,-23.968120574951172,-13.336742401123047,-7.989373524983724,-14.472457885742188,-25.526485443115234,-14.472457885742188,-8.508828481038412,3.698333740234375,-7.2508087158203125
77,169,eval,word_initial,1.1904951333999634,0.5879597663879395,Cadmium,Rob Howard,177,False,,1.5625,1.625,1.8125,2.0,2.8125,2.8125,2.4375,3.5625,1.0625,1.875,-20.686878204345703,-34.595802307128906,2,2,-10.343439102172852,-17.297901153564453,-30.342756271362305,-22.645414352416992,-15.171378135681152,-11.322707176208496,-25.51824951171875,-26.943634033203125,-12.759124755859375,-13.471817016601562,4.831371307373047,-7.652168273925781
78,87,eval,punctuation,0.0666469782590866,0.9919118881225586,Vitamin D (Glee),"The Fox, the Wolf and the Husbandman",178,False,,1.4375,1.875,1.625,2.9375,2.5,2.0,2.4375,3.5625,1.375,1.53125,-38.6519889831543,-68.10442352294922,6,9,-6.44199816385905,-7.5671581692165795,-46.95906066894531,-61.565067291259766,-7.826510111490886,-6.840563032362196,-46.16803741455078,-60.563804626464844,-7.69467290242513,-6.729311625162761,7.516048431396484,-7.540618896484375
79,60,eval,word_initial,0.9385846257209778,0.855753481388092,Paul Thomas Anderson,Boy-Scoutz ' n the Hood,179,False,,3.25,2.1875,3.875,2.9375,3.0625,1.5,2.4375,3.5625,1.6875,1.0625,-11.229497909545898,-73.61608123779297,3,9,-3.743165969848633,-8.179564581976997,-16.18015480041504,-51.54624938964844,-5.39338493347168,-5.7273610432942705,-17.866455078125,-62.48388671875,-5.955485026041667,-6.942654079861111,6.636957168579102,-11.132194519042969
